patients_per_clinic_block,num_med_techs,num_rooms,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_cv2,exam_time_mean,exam_time_cv2,post_exam_time_mean,post_exam_time_cv2,room_turnover_time_mean,room_turnover_time_cv2,off_util_staff,off_util_physician,off_util_room,staff_eff_ia_time_mean,staff_eff_svc_time_mean,staff_eff_svc_time_cv2,exam_eff_ia_time_mean,exam_eff_svc_time_mean,exam_eff_svc_time_cv2,mean_wait_i_dm1,mean_wait_p_dm1,mean_wait_r_dm1,mean_wait_rp_dm1,mean_wait_i,mean_wait_r,mean_wait_p,mean_wait_rp,mean_time_in_system,mean_eod
44,2,2,1,2,9,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.2375,0.9166666666666666,1.3291666666666666,10.909090909090908,13.5,0.4667362946679891,10.909090909090908,73.5857228535586,0.9208811753086,43.209919150868004,15.875803702690591,299.89425609678005,315.77005979947063,5.45496237060996,73.13354824884698,0.0,73.13354824884698,103.515131327851,381.85828413428
48,2,2,1,2,9,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.35,1.0,1.45,10.0,13.5,0.4667362946679891,10.0,89.63820503220278,0.8850343485245235,54.09154170743805,21.046663324764726,436.6493952377127,457.69605856247745,9.52606598079036,101.05278215391424,0.0,101.05278215391424,136.18489807149447,432.20621931494185
24,2,2,1,2,9,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.675,0.75,0.975,20.0,13.5,0.4667362946679891,20.0,37.787152924957155,1.5689323328840505,7.412617355561313,10.874535569395848,23.50135088524259,34.37588645463844,0.2442358187396925,10.231012946659028,0.0,10.231012946659028,37.01753899360358,272.9896640991236
28,2,2,1,2,9,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.7875,0.875,1.1375,17.142857142857142,13.5,0.4667362946679891,17.142857142857142,48.23216987287732,1.4711948233536436,11.739019742706434,16.99315013017089,66.19587560933428,83.18902573950517,0.4102958255129197,26.32599679339488,0.0,26.32599679339488,54.486338890953085,309.5352393922241
32,2,2,1,2,9,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.9,1.0,1.3,15.0,13.5,0.4667362946679891,15.0,61.836187059747466,1.5403303249882174,17.472756775305577,24.86343028444189,141.62599988740396,166.48943017184587,0.7993783994529622,42.541772111077705,0.0,42.541772111077705,71.38908900507809,340.1792630278398
36,2,2,1,2,9,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,1.0125,1.125,1.4625,13.333333333333334,13.5,0.4667362946679891,13.333333333333334,78.60907329556895,1.610712503132859,24.69072103588121,34.41835225968773,249.99382025622663,284.41217251591434,1.1223665601560158,61.66430318518903,0.0,61.66430318518903,90.92692500037812,380.94947881977583
40,2,2,1,2,9,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,1.125,1.25,1.625,12.0,13.5,0.4667362946679891,12.0,98.26628281964913,1.6234044082180872,33.329651446328484,45.43663137332065,391.7901178858082,437.22674925912884,2.239655089302245,85.14038336223922,0.0,85.14038336223922,115.8581201356231,424.68069828574335
16,2,2,1,2,9,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.45,0.6666666666666666,0.8166666666666667,30.0,13.5,0.4667362946679891,30.0,36.14666896400267,2.1309346272783793,2.1838040094425177,9.462864954560157,6.627361230344142,16.0902261849043,0.0944569360892897,6.03893868353784,0.0,6.03893868353784,37.35529187571426,259.9196221808945
20,2,2,1,2,9,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.5625,0.8333333333333334,1.0208333333333333,24.0,13.5,0.4667362946679891,24.0,46.11758216798077,2.417123287950585,4.304788373788158,17.31279379419262,26.799945795175308,44.112739589367926,0.180343621948804,13.203740124428618,0.0,13.203740124428618,44.53300982873016,280.4968804598636
24,2,2,1,2,9,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.675,1.0,1.225,20.0,13.5,0.4667362946679891,20.0,59.856243891527654,2.763362643246728,7.412617355561313,27.94362653596635,78.36951595996857,106.31314249593491,0.2461054594749999,29.078974387153732,0.0,29.078974387153732,61.580984644175615,323.09780640736915
